+------------------------------------------------+
| Input Size | Best Case | Avg Case | Worst Case |
+------------------------------------------------+
|        893 |       892 |      892 |     398278 |
|        471 |       470 |      470 |     110685 |
|        256 |       255 |      255 |      32640 |
|        851 |       850 |      850 |     361675 |
|        485 |       484 |      484 |     117370 |
|        522 |       521 |      521 |     135981 |
|        202 |       201 |      201 |      20301 |
|        655 |       654 |      654 |     214185 |
|        406 |       405 |      405 |      82215 |
|        589 |       588 |      588 |     173166 |
|        590 |       589 |      589 |     173755 |
|        741 |       740 |      740 |     274170 |
|        875 |       874 |      874 |     382375 |
|        603 |       602 |      602 |     181503 |
|        126 |       125 |      125 |       7875 |
|        227 |       226 |      226 |      25651 |
|        710 |       709 |      709 |     251695 |
|        835 |       834 |      834 |     348195 |
|        795 |       794 |      794 |     315615 |
|        117 |       116 |      116 |       6786 |
|        390 |       389 |      389 |      75855 |
|        928 |       927 |      927 |     430128 |
|        855 |       854 |      854 |     365085 |
|        894 |       893 |      893 |     399171 |
|        987 |       986 |      986 |     486591 |
|        935 |       934 |      934 |     436645 |
|        141 |       140 |      140 |       9870 |
|        475 |       474 |      474 |     112575 |
|        528 |       527 |      527 |     139128 |
|        462 |       461 |      461 |     106491 |
|        219 |       218 |      218 |      23871 |
|        451 |       450 |      450 |     101475 |
|        272 |       271 |      271 |      36856 |
|         61 |        60 |       60 |       1830 |
|        623 |       622 |      622 |     193753 |
|        676 |       675 |      675 |     228150 |
|        794 |       793 |      793 |     314821 |
|        948 |       947 |      947 |     448878 |
|        677 |       676 |      676 |     228826 |
|        736 |       735 |      735 |     270480 |
|        869 |       868 |      868 |     377146 |
|        174 |       173 |      173 |      15051 |
|         92 |        91 |       91 |       4186 |
|        604 |       603 |      603 |     182106 |
|        657 |       656 |      656 |     215496 |
|        586 |       585 |      585 |     171405 |
|        603 |       602 |      602 |     181503 |
|        987 |       986 |      986 |     486591 |
|         86 |        85 |       85 |       3655 |
|        481 |       480 |      480 |     115440 |
|        860 |       859 |      859 |     369370 |
|        516 |       515 |      515 |     132870 |
|        481 |       480 |      480 |     115440 |
|        186 |       185 |      185 |      17205 |
|        604 |       603 |      603 |     182106 |
|        778 |       777 |      777 |     302253 |
|        862 |       861 |      861 |     371091 |
|        956 |       955 |      955 |     456490 |
|        855 |       854 |      854 |     365085 |
|        748 |       747 |      747 |     279378 |
|        265 |       264 |      264 |      34980 |
|        897 |       896 |      896 |     401856 |
|         73 |        72 |       72 |       2628 |
|        135 |       134 |      134 |       9045 |
|        300 |       299 |      299 |      44850 |
|        382 |       381 |      381 |      72771 |
|        940 |       939 |      939 |     441330 |
|        273 |       272 |      272 |      37128 |
|        276 |       275 |      275 |      37950 |
|        619 |       618 |      618 |     191271 |
|        770 |       769 |      769 |     296065 |
|        917 |       916 |      916 |     419986 |
|        486 |       485 |      485 |     117855 |
|         48 |        47 |       47 |       1128 |
|        606 |       605 |      605 |     183315 |
|        725 |       724 |      724 |     262450 |
|        445 |       444 |      444 |      98790 |
|        635 |       634 |      634 |     201295 |
|        898 |       897 |      897 |     402753 |
|         95 |        94 |       94 |       4465 |
|        330 |       329 |      329 |      54285 |
|        524 |       523 |      523 |     137026 |
|        150 |       149 |      149 |      11175 |
|        762 |       761 |      761 |     289941 |
|        466 |       465 |      465 |     108345 |
|        989 |       988 |      988 |     488566 |
|        809 |       808 |      808 |     326836 |
|         62 |        61 |       61 |       1891 |
|        273 |       272 |      272 |      37128 |
|        439 |       438 |      438 |      96141 |
|        200 |       199 |      199 |      19900 |
|        513 |       512 |      512 |     131328 |
|        821 |       820 |      820 |     336610 |
|        276 |       275 |      275 |      37950 |
|        660 |       659 |      659 |     217470 |
|        369 |       368 |      368 |      67896 |
|        874 |       873 |      873 |     381501 |
|        470 |       469 |      469 |     110215 |
|        894 |       893 |      893 |     399171 |
|        755 |       754 |      754 |     284635 |
+------------------------------------------------+
